cle,nbmaisons,nbpers_au_foyer,type_client,catholique,protestant,autre_religion,sans_religion,marie,concubin,autre_relation,celibataire,sans_enfant,avec_enfant,niv_etude_haut,niv_etud_moy,niv_etud_bas,PCStop,PCScadre,PCSagri,PCSinter,PCSouvr_quali,PCSouvr,locataire,proprietaire,auto1,auto2,auto0,assur_sante_public,assur_sante_prive,revenu1,revenu2,revenu3,revenu4,revenu5,revenu_moyen,pouvoir_achat
1,1,3,8,0,5,1,3,7,0,2,1,2,6,1,2,7,1,0,1,2,5,2,1,8,8,0,1,8,1,0,4,5,0,0,4,3
2,1,2,8,1,4,1,4,6,2,2,0,4,5,0,5,4,0,0,0,5,0,4,2,7,7,1,2,6,3,2,0,5,2,0,5,4
3,1,2,8,0,4,2,4,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,7,2,7,0,2,9,0,4,5,0,0,0,3,4
4,1,3,3,2,3,2,4,5,2,2,2,3,4,3,4,2,4,0,0,3,1,2,5,4,9,0,0,7,2,1,5,3,0,0,4,4
5,1,4,10,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,3
6,1,2,5,0,5,0,5,0,6,3,3,5,2,0,5,4,2,0,0,4,2,2,9,0,5,3,3,9,0,5,2,3,0,0,3,3
7,2,3,9,2,2,0,5,7,2,0,0,3,6,0,4,5,0,0,0,4,1,5,6,3,8,0,1,9,0,4,3,3,0,0,3,5
8,1,2,8,0,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3
9,1,2,8,0,1,3,6,6,0,3,3,3,3,0,1,8,1,1,0,1,8,1,9,0,5,2,3,7,2,7,2,1,0,0,2,3
10,2,3,3,3,5,0,2,7,0,2,2,2,6,0,4,5,2,0,0,3,3,3,0,9,6,1,2,6,3,2,3,3,1,0,4,7
11,1,4,3,1,4,1,4,7,1,2,0,3,6,4,3,3,0,0,0,9,0,0,0,9,6,2,1,5,4,0,3,2,2,2,8,7
12,1,3,3,1,3,2,4,7,1,2,2,3,5,1,7,1,4,0,0,5,1,1,6,3,7,1,2,4,5,3,4,3,1,0,3,4
13,1,2,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,3
14,1,3,10,0,5,0,4,7,1,1,1,4,5,2,4,4,3,0,1,2,2,2,5,4,7,2,0,8,1,3,2,4,1,0,4,4
15,1,1,5,0,6,1,2,1,2,6,5,3,1,2,6,2,1,0,0,4,3,2,9,0,5,1,3,5,4,4,3,3,0,0,3,3
16,1,2,8,0,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3
17,1,2,9,0,6,0,3,7,0,2,0,6,3,2,6,2,2,0,0,4,0,4,6,3,7,2,0,4,5,0,1,6,2,0,5,4
18,2,3,5,0,5,0,4,7,0,2,0,2,7,2,1,7,0,2,0,1,1,5,4,5,6,1,2,7,2,0,6,3,0,0,4,2
19,1,4,3,2,4,0,3,7,0,2,1,3,6,5,4,1,6,0,0,3,0,1,4,5,7,1,2,5,4,2,2,6,0,0,4,6
20,1,2,7,0,2,0,7,9,0,0,0,6,3,0,0,9,0,0,0,2,4,4,9,0,7,2,0,9,0,5,4,0,0,0,3,1
21,1,4,8,0,6,0,3,9,0,0,0,3,6,0,0,9,0,0,3,0,6,0,9,0,7,2,0,9,0,3,5,2,0,0,3,3
22,2,3,8,0,4,2,3,7,0,2,0,2,7,0,2,7,0,0,2,4,0,3,0,9,7,0,2,9,0,3,6,0,0,0,3,3
23,1,3,3,1,7,0,2,7,0,2,1,3,6,3,5,1,6,0,0,2,0,1,4,5,7,2,1,5,4,1,1,8,0,0,5,6
24,2,3,8,0,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,4,6
25,2,4,3,0,4,2,4,8,1,1,1,3,6,1,7,2,4,0,0,3,3,0,1,8,8,0,1,4,5,0,5,4,0,0,4,6
26,1,3,8,0,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,4,3
27,1,3,8,0,5,0,4,7,2,0,0,3,6,3,5,2,1,0,0,5,2,2,8,1,9,0,0,5,4,2,3,3,2,0,5,4
28,1,3,10,0,3,0,6,9,0,0,0,4,5,2,0,7,2,0,5,0,2,0,2,7,7,2,0,7,2,4,2,4,0,0,3,3
29,1,4,7,0,9,0,0,5,0,4,0,0,9,0,0,9,0,0,2,0,3,5,9,0,3,2,4,7,2,9,0,0,0,0,1,1
30,2,2,8,0,7,1,2,5,1,4,4,1,5,0,2,7,0,0,1,2,6,1,8,1,5,1,4,8,1,5,3,2,0,0,3,3
31,2,2,5,1,3,2,4,2,4,3,3,3,3,2,5,3,2,0,0,5,3,0,5,4,7,0,2,9,0,5,3,2,0,0,3,2
32,1,2,5,2,4,2,4,7,1,2,6,0,3,1,8,0,3,0,0,1,1,5,6,3,7,1,2,6,3,4,4,2,0,0,3,3
33,1,4,8,1,4,1,5,8,1,1,1,2,7,2,2,6,3,1,1,2,4,1,4,5,5,4,1,7,2,4,2,4,0,1,4,3
34,1,2,9,0,5,2,2,4,2,4,4,4,3,1,3,5,2,1,0,3,2,3,6,3,6,1,3,8,1,4,3,3,0,0,3,4
35,2,4,3,0,4,2,4,8,1,1,1,3,6,1,7,2,4,0,0,3,3,0,1,8,8,0,1,4,5,0,5,4,0,0,4,6
36,1,3,2,2,4,1,4,6,1,3,1,4,5,2,5,2,2,2,0,3,1,3,6,3,7,1,2,6,3,3,4,3,0,0,3,7
37,1,3,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6
38,1,3,10,0,7,1,2,8,1,1,1,5,3,0,3,6,2,0,2,3,2,3,3,6,6,2,2,6,3,2,7,1,1,0,3,4
39,1,3,9,0,6,0,3,6,0,3,0,0,9,0,3,6,2,0,0,2,5,2,7,2,3,6,0,6,3,7,0,2,0,0,3,5
40,2,3,8,0,2,3,5,6,3,0,0,3,6,0,1,8,0,0,0,1,6,3,3,6,6,3,0,9,0,3,5,2,1,0,3,3
41,1,3,5,1,5,1,3,6,1,2,0,0,9,0,0,9,2,1,1,2,3,2,9,0,6,1,3,7,2,4,5,0,0,0,3,2
42,1,3,3,2,7,0,0,9,0,0,2,3,4,0,5,4,5,0,0,4,0,1,1,8,7,2,0,7,2,2,4,3,0,1,4,6
43,1,3,2,1,4,1,4,6,1,2,2,3,5,2,4,3,3,1,1,3,2,2,4,5,6,2,1,4,5,2,2,4,1,1,5,7
44,1,2,8,0,5,0,4,8,0,1,1,7,2,2,2,6,2,0,3,2,2,2,6,3,6,0,3,7,2,4,2,3,1,0,4,3
45,1,3,1,2,7,0,0,7,1,2,1,3,5,0,4,5,2,1,0,3,2,3,0,9,6,2,2,5,4,0,5,3,1,0,4,6
46,1,3,9,0,5,1,3,7,1,2,3,2,5,1,3,6,2,1,1,2,3,3,5,4,5,2,2,7,2,4,4,1,1,1,3,4
47,1,2,8,1,5,1,3,6,0,3,4,3,3,1,3,5,2,1,0,3,3,2,5,4,6,0,3,6,3,3,3,2,1,0,3,3
48,1,4,9,0,4,0,5,8,0,1,1,1,8,1,4,5,1,0,0,2,0,7,8,1,5,4,1,8,1,5,4,0,0,0,2,4
49,1,3,9,2,4,1,3,8,0,1,1,5,4,1,4,4,1,0,0,6,1,3,5,4,5,2,3,6,3,2,4,3,1,0,4,5
50,2,3,8,0,4,0,5,7,0,2,2,1,6,0,2,7,0,0,0,3,6,0,4,5,5,2,3,8,1,3,4,2,0,0,3,3
51,1,2,8,0,2,2,5,7,0,2,0,6,3,0,2,7,0,0,0,3,4,3,9,0,7,2,0,9,0,6,3,0,0,0,3,3
